,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Total_cases,Total_deaths
45,2020-02-17,0,7,0,0,7,0
46,2020-02-18,0,7,0,0,7,0
47,2020-02-19,0,7,0,0,7,0
48,2020-02-20,0,7,0,0,7,0
49,2020-02-21,0,7,0,0,7,0
50,2020-02-22,0,7,0,0,7,0
51,2020-02-23,0,7,0,0,7,0
52,2020-02-24,0,7,0,0,7,0
53,2020-02-25,0,7,0,0,7,0
54,2020-02-26,0,7,0,0,7,0
55,2020-02-27,0,7,0,0,7,0
56,2020-02-28,0,7,0,0,7,0
57,2020-02-29,0,7,0,0,7,0
58,2020-03-01,0,7,0,0,7,0
59,2020-03-02,-2,5,0,0,3,0
60,2020-03-03,4,9,0,0,13,0
61,2020-03-04,19,28,0,0,47,0
62,2020-03-05,1,29,0,0,30,0
63,2020-03-06,2,31,0,0,33,0
64,2020-03-07,3,34,0,0,37,0
65,2020-03-08,5,39,0,0,44,0
66,2020-03-09,5,44,0,0,49,0
67,2020-03-10,6,50,0,0,56,0
68,2020-03-11,10,60,0,0,70,0
69,2020-03-12,13,73,0,0,86,0
70,2020-03-13,8,81,1,1,89,2
71,2020-03-14,3,84,1,2,87,3
72,2020-03-15,23,107,0,2,130,2
73,2020-03-16,7,114,0,2,121,2
74,2020-03-17,23,137,1,3,160,4
75,2020-03-18,14,151,0,3,165,3
76,2020-03-19,22,173,1,4,195,5
77,2020-03-20,50,223,0,4,273,4
78,2020-03-21,60,283,0,4,343,4
79,2020-03-22,77,360,3,7,437,10
80,2020-03-23,74,434,2,9,508,11
81,2020-03-24,85,519,0,9,604,9
82,2020-03-25,87,606,1,10,693,11
83,2020-03-26,43,649,3,13,692,16
84,2020-03-27,75,724,4,17,799,21
85,2020-03-28,185,909,2,19,1094,21
86,2020-03-29,70,979,6,25,1049,31
87,2020-03-30,92,1071,4,29,1163,33
88,2020-03-31,180,1251,3,32,1431,35
89,2020-04-01,386,1637,6,38,2023,44
90,2020-04-02,328,1965,12,50,2293,62
91,2020-04-03,336,2301,6,56,2637,62
